region,year,poverty_percent
        Республика Адыгея (Адыгея),2000,37.2
        Республика Адыгея (Адыгея),2001,41.3
        Республика Адыгея (Адыгея),2002,34.6
        Республика Адыгея (Адыгея),2003,34.6
        Республика Адыгея (Адыгея),2004,33.6
        Республика Адыгея (Адыгея),2005,33.0
        Республика Адыгея (Адыгея),2006,32.7
        Республика Адыгея (Адыгея),2007,30.1
        Республика Адыгея (Адыгея),2008,23.9
        Республика Адыгея (Адыгея),2009,18.4
        Республика Адыгея (Адыгея),2010,16.0
        Республика Адыгея (Адыгея),2011,14.6
        Республика Адыгея (Адыгея),2012,11.3
        Республика Адыгея (Адыгея),2013,12.0
        Республика Адыгея (Адыгея),2014,11.0
        Республика Адыгея (Адыгея),2015,13.9
        Республика Адыгея (Адыгея),2016,13.4
        Республика Адыгея (Адыгея),2017,13.0
        Республика Адыгея (Адыгея),2018,12.8
        Республика Адыгея (Адыгея),2019,12.6
        Республика Адыгея (Адыгея),2020,12.5
        Республика Калмыкия,1995,54.6
        Республика Калмыкия,1996,52.7
        Республика Калмыкия,1997,37.2
        Республика Калмыкия,1998,49.5
        Республика Калмыкия,1999,60.3
        Республика Калмыкия,2000,66.4
        Республика Калмыкия,2001,52.6
        Республика Калмыкия,2002,56.6
        Республика Калмыкия,2003,54.0
        Республика Калмыкия,2004,54.4
        Республика Калмыкия,2005,61.1
        Республика Калмыкия,2006,48.1
        Республика Калмыкия,2007,45.3
        Республика Калмыкия,2008,39.7
        Республика Калмыкия,2009,36.5
        Республика Калмыкия,2010,35.7
        Республика Калмыкия,2011,35.8
        Республика Калмыкия,2012,30.7
        Республика Калмыкия,2013,33.4
        Республика Калмыкия,2014,31.8
        Республика Калмыкия,2015,29.5
        Республика Калмыкия,2016,26.7
        Республика Калмыкия,2017,24.3
        Республика Калмыкия,2018,23.6
        Республика Калмыкия,2019,23.5
        Республика Калмыкия,2020,22.7
        Республика Крым,2015,23.1
        Республика Крым,2016,23.3
        Республика Крым,2017,19.4
        Республика Крым,2018,17.3
        Республика Крым,2019,17.2
        Республика Крым,2020,17.2
        Краснодарский край,1995,32.6
        Краснодарский край,1996,24.3
        Краснодарский край,1997,23.7
        Краснодарский край,1998,25.5
        Краснодарский край,1999,36.9
        Краснодарский край,2000,43.7
        Краснодарский край,2001,36.8
        Краснодарский край,2002,32.0
        Краснодарский край,2003,28.1
        Краснодарский край,2004,26.7
        Краснодарский край,2005,26.3
        Краснодарский край,2006,22.6
        Краснодарский край,2007,19.4
        Краснодарский край,2008,17.7
        Краснодарский край,2009,18.5
        Краснодарский край,2010,15.2
        Краснодарский край,2011,13.5
        Краснодарский край,2012,11.2
        Краснодарский край,2013,10.7
        Краснодарский край,2014,10.3
        Краснодарский край,2015,11.7
        Краснодарский край,2016,11.6
        Краснодарский край,2017,10.9
        Краснодарский край,2018,10.3
        Краснодарский край,2019,10.4
        Краснодарский край,2020,10.4
        Астраханская область,1995,32.3
        Астраханская область,1996,30.7
        Астраханская область,1997,25.0
        Астраханская область,1998,30.4
        Астраханская область,1999,36.0
        Астраханская область,2000,33.4
        Астраханская область,2001,31.1
        Астраханская область,2002,26.2
        Астраханская область,2003,22.9
        Астраханская область,2004,20.3
        Астраханская область,2005,19.5
        Астраханская область,2006,17.5
        Астраханская область,2007,16.3
        Астраханская область,2008,16.3
        Астраханская область,2009,15.0
        Астраханская область,2010,14.1
        Астраханская область,2011,14.2
        Астраханская область,2012,12.5
        Астраханская область,2013,11.8
        Астраханская область,2014,12.0
        Астраханская область,2015,14.2
        Астраханская область,2016,16.1
        Астраханская область,2017,15.5
        Астраханская область,2018,15.1
        Астраханская область,2019,15.5
        Астраханская область,2020,15.6
        Волгоградская область,1995,33.8
        Волгоградская область,1996,28.6
        Волгоградская область,1997,23.3
        Волгоградская область,1998,31.2
        Волгоградская область,1999,47.7
        Волгоградская область,2000,34.9
        Волгоградская область,2001,29.3
        Волгоградская область,2002,26.8
        Волгоградская область,2003,21.4
        Волгоградская область,2004,17.9
        Волгоградская область,2005,17.2
        Волгоградская область,2006,11.9
        Волгоградская область,2007,13.0
        Волгоградская область,2008,13.7
        Волгоградская область,2009,12.8
        Волгоградская область,2010,14.0
        Волгоградская область,2011,15.1
        Волгоградская область,2012,13.6
        Волгоградская область,2013,13.0
        Волгоградская область,2014,13.6
        Волгоградская область,2015,14.2
        Волгоградская область,2016,14.4
        Волгоградская область,2017,13.6
        Волгоградская область,2018,13.4
        Волгоградская область,2019,12.9
        Волгоградская область,2020,11.9
        Ростовская область,1995,34.2
        Ростовская область,1996,21.8
        Ростовская область,1997,20.0
        Ростовская область,1998,21.5
        Ростовская область,1999,26.0
        Ростовская область,2000,33.1
        Ростовская область,2001,30.8
        Ростовская область,2002,27.9
        Ростовская область,2003,23.2
        Ростовская область,2004,19.2
        Ростовская область,2005,18.3
        Ростовская область,2006,18.5
        Ростовская область,2007,16.0
        Ростовская область,2008,14.9
        Ростовская область,2009,16.0
        Ростовская область,2010,14.9
        Ростовская область,2011,15.2
        Ростовская область,2012,12.9
        Ростовская область,2013,13.2
        Ростовская область,2014,13.1
        Ростовская область,2015,14.4
        Ростовская область,2016,14.2
        Ростовская область,2017,13.9
        Ростовская область,2018,13.2
        Ростовская область,2019,13.3
        Ростовская область,2020,13.0
        Город федерального значения Севастополь,2015,15.1
        Город федерального значения Севастополь,2016,11.7
        Город федерального значения Севастополь,2017,10.9
        Город федерального значения Севастополь,2018,10.8
        Город федерального значения Севастополь,2019,11.6
        Город федерального значения Севастополь,2020,11.0
    Северо-Кавказский федеральный округ,2003,0.0
    Северо-Кавказский федеральный округ,2004,0.0
    Северо-Кавказский федеральный округ,2005,0.0
    Северо-Кавказский федеральный округ,2006,0.0
    Северо-Кавказский федеральный округ,2007,0.0
    Северо-Кавказский федеральный округ,2008,0.0
    Северо-Кавказский федеральный округ,2009,0.0
    Северо-Кавказский федеральный округ,2010,0.0
    Северо-Кавказский федеральный округ,2011,0.0
    Северо-Кавказский федеральный округ,2012,0.0
    Северо-Кавказский федеральный округ,2013,0.0
    Северо-Кавказский федеральный округ,2014,0.0
    Северо-Кавказский федеральный округ,2015,0.0
    Северо-Кавказский федеральный округ,2016,0.0
    Северо-Кавказский федеральный округ,2017,0.0
    Северо-Кавказский федеральный округ,2018,0.0
        Республика Дагестан,1995,72.5
        Республика Дагестан,1996,67.1
        Республика Дагестан,1997,52.6
        Республика Дагестан,1998,59.6
        Республика Дагестан,1999,67.8
        Республика Дагестан,2000,72.6
        Республика Дагестан,2001,69.0
        Республика Дагестан,2002,59.7
        Республика Дагестан,2003,47.5
        Республика Дагестан,2004,30.5
        Республика Дагестан,2005,24.6
        Республика Дагестан,2006,15.4
        Республика Дагестан,2007,14.4
        Республика Дагестан,2008,11.2
        Республика Дагестан,2009,9.7
        Республика Дагестан,2010,8.8
        Республика Дагестан,2011,8.3
        Республика Дагестан,2012,7.0
        Республика Дагестан,2013,10.2
        Республика Дагестан,2014,10.2
        Республика Дагестан,2015,11.0
        Республика Дагестан,2016,13.0
        Республика Дагестан,2017,14.5
        Республика Дагестан,2018,14.6
        Республика Дагестан,2019,14.6
        Республика Дагестан,2020,14.8
        Республика Ингушетия,1995,98.4
        Республика Ингушетия,1996,91.4
        Республика Ингушетия,1997,70.2
        Республика Ингушетия,1998,74.3
        Республика Ингушетия,1999,90.5
        Республика Ингушетия,2000,94.3
        Республика Ингушетия,2001,88.0
        Республика Ингушетия,2002,87.4
        Республика Ингушетия,2003,79.9
        Республика Ингушетия,2004,68.9
        Республика Ингушетия,2005,55.2
        Республика Ингушетия,2006,45.7
        Республика Ингушетия,2007,33.5
        Республика Ингушетия,2008,27.6
        Республика Ингушетия,2009,26.0
        Республика Ингушетия,2010,22.1
        Республика Ингушетия,2011,18.5
        Республика Ингушетия,2012,17.1
        Республика Ингушетия,2013,20.3
        Республика Ингушетия,2014,23.9
        Республика Ингушетия,2015,29.9
        Республика Ингушетия,2016,29.3
        Республика Ингушетия,2017,29.6
        Республика Ингушетия,2018,30.4
        Республика Ингушетия,2019,30.5
        Республика Ингушетия,2020,30.0
        Кабардино-Балкарская Республика,1995,46.2
        Кабардино-Балкарская Республика,1996,44.3
        Кабардино-Балкарская Республика,1997,44.2
        Кабардино-Балкарская Республика,1998,51.1
        Кабардино-Балкарская Республика,1999,51.9
        Кабардино-Балкарская Республика,2000,57.5
        Кабардино-Балкарская Республика,2001,52.3
        Кабардино-Балкарская Республика,2002,36.6
        Кабардино-Балкарская Республика,2003,31.7
        Кабардино-Балкарская Республика,2004,25.9
        Кабардино-Балкарская Республика,2005,23.8
        Кабардино-Балкарская Республика,2006,21.1
        Кабардино-Балкарская Республика,2007,17.3
        Кабардино-Балкарская Республика,2008,15.2
        Кабардино-Балкарская Республика,2009,15.4
        Кабардино-Балкарская Республика,2010,15.7
        Кабардино-Балкарская Республика,2011,15.3
        Кабардино-Балкарская Республика,2012,14.2
        Кабардино-Балкарская Республика,2013,19.0
        Кабардино-Балкарская Республика,2014,18.7
        Кабардино-Балкарская Республика,2015,21.1
        Кабардино-Балкарская Республика,2016,25.8
        Кабардино-Балкарская Республика,2017,24.7
        Кабардино-Балкарская Республика,2018,24.2
        Кабардино-Балкарская Республика,2019,24.2
        Кабардино-Балкарская Республика,2020,24.2
        Карачаево-Черкесская Республика,1995,48.5
        Карачаево-Черкесская Республика,1996,55.6
        Карачаево-Черкесская Республика,1997,41.5
        Карачаево-Черкесская Республика,1998,52.2
        Карачаево-Черкесская Республика,1999,61.2
        Карачаево-Черкесская Республика,2000,62.5
        Карачаево-Черкесская Республика,2001,54.4
        Карачаево-Черкесская Республика,2002,40.9
        Карачаево-Черкесская Республика,2003,36.0
        Карачаево-Черкесская Республика,2004,29.6
        Карачаево-Черкесская Республика,2005,27.7
        Карачаево-Черкесская Республика,2006,22.7
        Карачаево-Черкесская Республика,2007,20.5
        Карачаево-Черкесская Республика,2008,19.5
        Карачаево-Черкесская Республика,2009,18.5
        Карачаево-Черкесская Республика,2010,17.7
        Карачаево-Черкесская Республика,2011,18.8
        Карачаево-Черкесская Республика,2012,16.0
        Карачаево-Черкесская Республика,2013,20.3
        Карачаево-Черкесская Республика,2014,19.2
        Карачаево-Черкесская Республика,2015,22.8
        Карачаево-Черкесская Республика,2016,23.8
        Карачаево-Черкесская Республика,2017,23.2
        Карачаево-Черкесская Республика,2018,22.8
        Карачаево-Черкесская Республика,2019,23.3
        Карачаево-Черкесская Республика,2020,23.2
        Республика Северная Осетия-Алания,1995,44.0
        Республика Северная Осетия-Алания,1996,40.1
        Республика Северная Осетия-Алания,1997,34.7
        Республика Северная Осетия-Алания,1998,39.7
        Республика Северная Осетия-Алания,1999,40.6
        Республика Северная Осетия-Алания,2000,33.2
        Республика Северная Осетия-Алания,2001,40.8
        Республика Северная Осетия-Алания,2002,36.0
        Республика Северная Осетия-Алания,2003,28.1
        Республика Северная Осетия-Алания,2004,18.2
        Республика Северная Осетия-Алания,2005,17.0
        Республика Северная Осетия-Алания,2006,16.5
        Республика Северная Осетия-Алания,2007,13.1
        Республика Северная Осетия-Алания,2008,12.1
        Республика Северная Осетия-Алания,2009,14.0
        Республика Северная Осетия-Алания,2010,10.5
        Республика Северная Осетия-Алания,2011,12.6
        Республика Северная Осетия-Алания,2012,10.4
        Республика Северная Осетия-Алания,2013,12.6
        Республика Северная Осетия-Алания,2014,12.5
        Республика Северная Осетия-Алания,2015,14.2
        Республика Северная Осетия-Алания,2016,14.3
        Республика Северная Осетия-Алания,2017,14.4
        Республика Северная Осетия-Алания,2018,14.0
        Республика Северная Осетия-Алания,2019,13.8
        Республика Северная Осетия-Алания,2020,13.9
        Чеченская Республика,2003,0.0
        Чеченская Республика,2004,0.0
        Чеченская Республика,2005,0.0
        Чеченская Республика,2006,0.0
        Чеченская Республика,2007,0.0
        Чеченская Республика,2008,0.0
        Чеченская Республика,2009,0.0
        Чеченская Республика,2010,0.0
        Чеченская Республика,2011,0.0
        Чеченская Республика,2012,21.7
        Чеченская Республика,2013,17.8
        Чеченская Республика,2014,14.2
        Чеченская Республика,2015,16.0
        Чеченская Республика,2016,17.3
        Чеченская Республика,2017,20.7
        Чеченская Республика,2018,20.5
        Чеченская Республика,2019,20.7
        Чеченская Республика,2020,20.4
        Ставропольский край,1995,40.0
        Ставропольский край,1996,31.4
        Ставропольский край,1997,35.6
        Ставропольский край,1998,39.0
        Ставропольский край,1999,45.1
        Ставропольский край,2000,45.2
        Ставропольский край,2001,43.1
        Ставропольский край,2002,39.4
        Ставропольский край,2003,33.7
        Ставропольский край,2004,29.0
        Ставропольский край,2005,24.9
        Ставропольский край,2006,22.1
        Ставропольский край,2007,19.1
        Ставропольский край,2008,20.2
        Ставропольский край,2009,19.7
        Ставропольский край,2010,18.5
        Ставропольский край,2011,18.3
        Ставропольский край,2012,13.7
        Ставропольский край,2013,12.4
        Ставропольский край,2014,12.2
        Ставропольский край,2015,14.6
        Ставропольский край,2016,15.0
        Ставропольский край,2017,14.3
        Ставропольский край,2018,13.9
        Ставропольский край,2019,14.0
        Ставропольский край,2020,13.8
    Приволжский федеральный округ,2003,0.0
    Приволжский федеральный округ,2004,0.0
    Приволжский федеральный округ,2005,0.0
    Приволжский федеральный округ,2006,0.0
    Приволжский федеральный округ,2007,0.0
    Приволжский федеральный округ,2008,0.0
    Приволжский федеральный округ,2009,0.0
    Приволжский федеральный округ,2010,0.0
    Приволжский федеральный округ,2011,0.0
    Приволжский федеральный округ,2012,0.0
    Приволжский федеральный округ,2013,0.0
    Приволжский федеральный округ,2014,0.0
    Приволжский федеральный округ,2015,0.0
    Приволжский федеральный округ,2016,0.0
    Приволжский федеральный округ,2017,0.0
    Приволжский федеральный округ,2018,0.0
        Республика Башкортостан,1995,32.4
        Республика Башкортостан,1996,28.2
        Республика Башкортостан,1997,25.2
        Республика Башкортостан,1998,26.8
        Республика Башкортостан,1999,30.4
        Республика Башкортостан,2000,33.1
        Республика Башкортостан,2001,28.3
        Республика Башкортостан,2002,23.2
        Республика Башкортостан,2003,20.3
        Республика Башкортостан,2004,17.5
        Республика Башкортостан,2005,14.9
        Республика Башкортостан,2006,14.5
        Республика Башкортостан,2007,12.8
        Республика Башкортостан,2008,11.5
        Республика Башкортостан,2009,11.2
        Республика Башкортостан,2010,12.1
        Республика Башкортостан,2011,12.6
        Республика Башкортостан,2012,10.3
        Республика Башкортостан,2013,10.4
        Республика Башкортостан,2014,10.8
        Республика Башкортостан,2015,13.0
        Республика Башкортостан,2016,12.5
        Республика Башкортостан,2017,12.3
        Республика Башкортостан,2018,12.0
        Республика Башкортостан,2019,12.1
        Республика Башкортостан,2020,11.6
        Республика Марий Эл,1995,42.7
        Республика Марий Эл,1996,56.0
        Республика Марий Эл,1997,51.3
        Республика Марий Эл,1998,59.1
        Республика Марий Эл,1999,56.3
        Республика Марий Эл,2000,60.2
        Республика Марий Эл,2001,58.8
        Республика Марий Эл,2002,52.5
        Республика Марий Эл,2003,49.7
        Республика Марий Эл,2004,46.5
        Республика Марий Эл,2005,39.7
        Республика Марий Эл,2006,29.9
        Республика Марий Эл,2007,27.5
        Республика Марий Эл,2008,25.4
        Республика Марий Эл,2009,24.1
        Республика Марий Эл,2010,24.0
        Республика Марий Эл,2011,24.2
        Республика Марий Эл,2012,20.0
        Республика Марий Эл,2013,19.4
        Республика Марий Эл,2014,19.5
        Республика Марий Эл,2015,22.2
        Республика Марий Эл,2016,22.1
        Республика Марий Эл,2017,21.7
        Республика Марий Эл,2018,20.4
        Республика Марий Эл,2019,20.1
        Республика Марий Эл,2020,19.5
        Республика Мордовия,1995,35.1
        Республика Мордовия,1996,45.5
        Республика Мордовия,1997,37.9
        Республика Мордовия,1998,45.4
        Республика Мордовия,1999,67.1
        Республика Мордовия,2000,52.9
        Республика Мордовия,2001,48.5
        Республика Мордовия,2002,43.7
        Республика Мордовия,2003,36.1
        Республика Мордовия,2004,32.0
        Республика Мордовия,2005,30.1
        Республика Мордовия,2006,28.7
        Республика Мордовия,2007,24.6
        Республика Мордовия,2008,20.4
        Республика Мордовия,2009,19.7
        Республика Мордовия,2010,18.3
        Республика Мордовия,2011,20.2
        Республика Мордовия,2012,18.0
        Республика Мордовия,2013,18.7
        Республика Мордовия,2014,17.6
        Республика Мордовия,2015,19.8
        Республика Мордовия,2016,18.5
        Республика Мордовия,2017,18.2
        Республика Мордовия,2018,17.8
        Республика Мордовия,2019,18.0
        Республика Мордовия,2020,17.6
        Республика Татарстан (Татарстан),1995,22.1
        Республика Татарстан (Татарстан),1996,19.3
        Республика Татарстан (Татарстан),1997,17.4
        Республика Татарстан (Татарстан),1998,19.7
        Республика Татарстан (Татарстан),1999,23.8
        Республика Татарстан (Татарстан),2000,33.2
        Республика Татарстан (Татарстан),2001,27.3
        Республика Татарстан (Татарстан),2002,23.6
        Республика Татарстан (Татарстан),2003,19.2
        Республика Татарстан (Татарстан),2004,15.8
        Республика Татарстан (Татарстан),2005,12.8
        Республика Татарстан (Татарстан),2006,9.9
        Республика Татарстан (Татарстан),2007,8.7
        Республика Татарстан (Татарстан),2008,8.6
        Республика Татарстан (Татарстан),2009,8.3
        Республика Татарстан (Татарстан),2010,7.7
        Республика Татарстан (Татарстан),2011,8.1
        Республика Татарстан (Татарстан),2012,6.5
        Республика Татарстан (Татарстан),2013,6.8
        Республика Татарстан (Татарстан),2014,7.0
        Республика Татарстан (Татарстан),2015,7.1
        Республика Татарстан (Татарстан),2016,7.5
        Республика Татарстан (Татарстан),2017,7.2
        Республика Татарстан (Татарстан),2018,7.0
        Республика Татарстан (Татарстан),2019,6.9
        Республика Татарстан (Татарстан),2020,6.6
        Удмуртская Республика,1995,34.7
        Удмуртская Республика,1996,26.6
        Удмуртская Республика,1997,24.1
        Удмуртская Республика,1998,31.0
        Удмуртская Республика,1999,46.9
        Удмуртская Республика,2000,35.1
        Удмуртская Республика,2001,33.3
        Удмуртская Республика,2002,30.4
        Удмуртская Республика,2003,30.2
        Удмуртская Республика,2004,26.1
        Удмуртская Республика,2005,22.4
        Удмуртская Республика,2006,19.0
        Удмуртская Республика,2007,17.3
        Удмуртская Республика,2008,16.1
        Удмуртская Республика,2009,14.9
        Удмуртская Республика,2010,13.7
        Удмуртская Республика,2011,14.0
        Удмуртская Республика,2012,11.1
        Удмуртская Республика,2013,11.8
        Удмуртская Республика,2014,11.9
        Удмуртская Республика,2015,12.3
        Удмуртская Республика,2016,12.4
        Удмуртская Республика,2017,12.2
        Удмуртская Республика,2018,12.2
        Удмуртская Республика,2019,12.4
        Удмуртская Республика,2020,11.9
        Чувашская Республика - Чувашия,1995,27.0
        Чувашская Республика - Чувашия,1996,27.0
        Чувашская Республика - Чувашия,1997,28.4
        Чувашская Республика - Чувашия,1998,43.0
        Чувашская Республика - Чувашия,1999,57.2
        Чувашская Республика - Чувашия,2000,51.3
        Чувашская Республика - Чувашия,2001,44.8
        Чувашская Республика - Чувашия,2002,40.9
        Чувашская Республика - Чувашия,2003,31.9
        Чувашская Республика - Чувашия,2004,30.6
        Чувашская Республика - Чувашия,2005,26.7
        Чувашская Республика - Чувашия,2006,21.0
        Чувашская Республика - Чувашия,2007,20.2
        Чувашская Республика - Чувашия,2008,18.9
        Чувашская Республика - Чувашия,2009,19.0
        Чувашская Республика - Чувашия,2010,18.2
        Чувашская Республика - Чувашия,2011,19.3
        Чувашская Республика - Чувашия,2012,16.0
        Чувашская Республика - Чувашия,2013,16.5
        Чувашская Республика - Чувашия,2014,16.4
        Чувашская Республика - Чувашия,2015,17.9
        Чувашская Республика - Чувашия,2016,18.8
        Чувашская Республика - Чувашия,2017,18.4
        Чувашская Республика - Чувашия,2018,17.8
        Чувашская Республика - Чувашия,2019,17.4
        Чувашская Республика - Чувашия,2020,16.8
        Пермский край,1995,25.2
        Пермский край,1996,20.8
        Пермский край,1997,17.8
        Пермский край,1998,20.5
        Пермский край,1999,26.0
        Пермский край,2000,25.5
        Пермский край,2001,24.3
        Пермский край,2002,23.4
        Пермский край,2003,21.8
        Пермский край,2004,20.1
        Пермский край,2005,16.9
        Пермский край,2006,14.1
        Пермский край,2007,13.5
        Пермский край,2008,14.0
        Пермский край,2009,14.2
        Пермский край,2010,13.2
        Пермский край,2011,14.4
        Пермский край,2012,12.2
        Пермский край,2013,11.9
        Пермский край,2014,12.5
        Пермский край,2015,12.8
        Пермский край,2016,15.3
        Пермский край,2017,15.1
        Пермский край,2018,14.9
        Пермский край,2019,13.8
        Пермский край,2020,13.3
        Кировская область,1995,31.5
        Кировская область,1996,30.2
        Кировская область,1997,30.2
        Кировская область,1998,39.6
        Кировская область,1999,51.1
        Кировская область,2000,45.2
        Кировская область,2001,42.2
        Кировская область,2002,34.5
        Кировская область,2003,31.2
        Кировская область,2004,26.6
        Кировская область,2005,26.2
        Кировская область,2006,22.9
        Кировская область,2007,21.4
        Кировская область,2008,16.9
        Кировская область,2009,17.6
        Кировская область,2010,14.2
        Кировская область,2011,15.0
        Кировская область,2012,12.4
        Кировская область,2013,14.1
        Кировская область,2014,13.1
        Кировская область,2015,15.3
        Кировская область,2016,15.9
        Кировская область,2017,15.4
        Кировская область,2018,15.2
        Кировская область,2019,14.6
        Кировская область,2020,14.0
        Нижегородская область,1995,22.0
        Нижегородская область,1996,19.2
        Нижегородская область,1997,17.3
        Нижегородская область,1998,19.5
        Нижегородская область,1999,31.8
        Нижегородская область,2000,35.4
        Нижегородская область,2001,27.2
        Нижегородская область,2002,22.8
        Нижегородская область,2003,22.8
        Нижегородская область,2004,20.4
        Нижегородская область,2005,17.5
        Нижегородская область,2006,15.9
        Нижегородская область,2007,14.2
        Нижегородская область,2008,13.5
        Нижегородская область,2009,13.4
        Нижегородская область,2010,12.3
        Нижегородская область,2011,12.5
        Нижегородская область,2012,10.3
        Нижегородская область,2013,9.0
        Нижегородская область,2014,8.8
        Нижегородская область,2015,9.9
        Нижегородская область,2016,9.8
        Нижегородская область,2017,10.0
        Нижегородская область,2018,9.5
        Нижегородская область,2019,9.5
        Нижегородская область,2020,9.4
        Оренбургская область,1995,49.3
        Оренбургская область,1996,27.2
        Оренбургская область,1997,22.9
        Оренбургская область,1998,27.8
        Оренбургская область,1999,35.5
        Оренбургская область,2000,42.1
        Оренбургская область,2001,38.1
        Оренбургская область,2002,33.3
        Оренбургская область,2003,28.8
        Оренбургская область,2004,24.1
        Оренбургская область,2005,21.5
        Оренбургская область,2006,18.8
        Оренбургская область,2007,17.9
        Оренбургская область,2008,15.7
        Оренбургская область,2009,15.3
        Оренбургская область,2010,13.9
        Оренбургская область,2011,14.4
        Оренбургская область,2012,12.7
        Оренбургская область,2013,12.3
        Оренбургская область,2014,11.9
        Оренбургская область,2015,13.9
        Оренбургская область,2016,14.6
        Оренбургская область,2017,14.3
        Оренбургская область,2018,14.2
        Оренбургская область,2019,14.3
        Оренбургская область,2020,14.0
        Пензенская область,1995,30.2
        Пензенская область,1996,35.4
        Пензенская область,1997,32.7
        Пензенская область,1998,45.3
        Пензенская область,1999,52.2
        Пензенская область,2000,49.4
        Пензенская область,2001,43.7
        Пензенская область,2002,37.6
        Пензенская область,2003,33.3
        Пензенская область,2004,28.1
        Пензенская область,2005,26.3
        Пензенская область,2006,23.4
        Пензенская область,2007,17.4
        Пензенская область,2008,16.0
        Пензенская область,2009,15.2
        Пензенская область,2010,15.2
        Пензенская область,2011,15.4
        Пензенская область,2012,13.1
        Пензенская область,2013,13.4
        Пензенская область,2014,13.2
        Пензенская область,2015,14.4
        Пензенская область,2016,14.8
        Пензенская область,2017,14.2
        Пензенская область,2018,13.5
        Пензенская область,2019,13.6
        Пензенская область,2020,13.0
        Самарская область,1995,21.2
        Самарская область,1996,19.5
        Самарская область,1997,19.1
        Самарская область,1998,18.0
        Самарская область,1999,22.7
        Самарская область,2000,31.2
        Самарская область,2001,29.8
        Самарская область,2002,27.7
        Самарская область,2003,21.1
        Самарская область,2004,19.1
        Самарская область,2005,17.5
        Самарская область,2006,17.3
        Самарская область,2007,15.8
        Самарская область,2008,17.1
        Самарская область,2009,16.1
        Самарская область,2010,15.1
        Самарская область,2011,15.2
        Самарская область,2012,12.3
        Самарская область,2013,12.3
        Самарская область,2014,12.3
        Самарская область,2015,13.1
        Самарская область,2016,13.5
        Самарская область,2017,13.3
        Самарская область,2018,12.7
        Самарская область,2019,12.9
        Самарская область,2020,12.3
        Саратовская область,1995,35.3
        Саратовская область,1996,36.9
        Саратовская область,1997,27.2
        Саратовская область,1998,31.9
        Саратовская область,1999,38.4
        Саратовская область,2000,41.2
        Саратовская область,2001,38.7
        Саратовская область,2002,34.4
        Саратовская область,2003,29.2
        Саратовская область,2004,27.4
        Саратовская область,2005,24.7
        Саратовская область,2006,21.5
        Саратовская область,2007,22.8
        Саратовская область,2008,20.7
        Саратовская область,2009,19.1
        Саратовская область,2010,16.4
        Саратовская область,2011,17.3
        Саратовская область,2012,15.9
        Саратовская область,2013,15.0
        Саратовская область,2014,15.0
        Саратовская область,2015,16.9
        Саратовская область,2016,16.8
        Саратовская область,2017,16.5
        Саратовская область,2018,15.3
        Саратовская область,2019,15.5
        Саратовская область,2020,14.8
        Ульяновская область,1995,16.1
        Ульяновская область,1996,15.2
        Ульяновская область,1997,16.0
        Ульяновская область,1998,17.3
        Ульяновская область,1999,29.5
        Ульяновская область,2000,44.5
        Ульяновская область,2001,45.2
        Ульяновская область,2002,40.7
        Ульяновская область,2003,33.3
        Ульяновская область,2004,31.6
        Ульяновская область,2005,28.9
        Ульяновская область,2006,24.2
        Ульяновская область,2007,20.7
        Ульяновская область,2008,19.5
        Ульяновская область,2009,19.5
        Ульяновская область,2010,16.4
        Ульяновская область,2011,16.8
        Ульяновская область,2012,13.3
        Ульяновская область,2013,13.8
        Ульяновская область,2014,12.7
        Ульяновская область,2015,14.8
        Ульяновская область,2016,14.7
        Ульяновская область,2017,14.9
        Ульяновская область,2018,15.3
        Ульяновская область,2019,15.5
        Ульяновская область,2020,15.0
    Уральский федеральный округ,2003,0.0
    Уральский федеральный округ,2004,0.0
    Уральский федеральный округ,2005,0.0
    Уральский федеральный округ,2006,0.0
    Уральский федеральный округ,2007,0.0
    Уральский федеральный округ,2008,0.0
    Уральский федеральный округ,2009,0.0
    Уральский федеральный округ,2010,0.0
    Уральский федеральный округ,2011,0.0
    Уральский федеральный округ,2012,0.0
    Уральский федеральный округ,2013,0.0
    Уральский федеральный округ,2014,0.0
    Уральский федеральный округ,2015,0.0
    Уральский федеральный округ,2016,0.0
    Уральский федеральный округ,2017,0.0
    Уральский федеральный округ,2018,0.0
        Курганская область,1995,49.5
        Курганская область,1996,50.4
        Курганская область,1997,41.5
        Курганская область,1998,46.7
        Курганская область,1999,51.6
        Курганская область,2000,50.0
        Курганская область,2001,48.4
        Курганская область,2002,45.2
        Курганская область,2003,45.1
        Курганская область,2004,34.7
        Курганская область,2005,30.8
        Курганская область,2006,22.8
        Курганская область,2007,18.8
        Курганская область,2008,17.4
        Курганская область,2009,17.6
        Курганская область,2010,16.9
        Курганская область,2011,18.5
        Курганская область,2012,15.6
        Курганская область,2013,16.9
        Курганская область,2014,17.1
        Курганская область,2015,18.8
        Курганская область,2016,19.7
        Курганская область,2017,19.7
        Курганская область,2018,19.6
        Курганская область,2019,19.6
        Курганская область,2020,19.3
        Свердловская область,1995,29.5
        Свердловская область,1996,25.6
        Свердловская область,1997,23.1
        Свердловская область,1998,30.2
        Свердловская область,1999,31.7
        Свердловская область,2000,28.8
        Свердловская область,2001,27.7
        Свердловская область,2002,24.3
        Свердловская область,2003,17.8
        Свердловская область,2004,15.2
        Свердловская область,2005,12.6
        Свердловская область,2006,12.1
        Свердловская область,2007,10.4
        Свердловская область,2008,10.5
        Свердловская область,2009,10.6
        Свердловская область,2010,10.0
